X,Y,response,bio2,bio6,bio12,bio15,bio19
-99.46268789,17.34424342,1,138,140,1325,109,22
-90.02935406,18.2025768,1,113,159,1248,64,136
-96.92935442,19.49424354,1,99,104,1670,66,169
-96.67935441,18.7692435,1,119,151,1731,81,132
-106.4126882,24.92757715,1,146,88,1125,101,133
-93.45435424,16.8442434,1,120,139,918,84,57
-93.08768755,16.71924339,1,137,137,979,105,16
-92.88768754,17.06924341,1,122,97,1949,56,246
-98.67102118,24.29424379,1,136,85,648,59,88
-89.76268738,20.01091023,1,135,157,1010,72,75
-89.02102068,20.92757694,1,127,165,1054,70,96
-97.12935443,16.2275767,1,151,79,1266,102,30
-89.48768737,20.25257691,1,135,156,1108,62,102
-98.87935452,19.50257687,1,181,11,591,84,20
-88.17102063,20.97757695,1,126,157,1137,67,108
-99.0960212,19.01924351,1,160,32,1138,100,31
-99.13768787,23.07757706,1,126,119,1231,81,66
-98.88768786,21.91091033,1,115,129,1326,76,106
-98.95435453,21.74424365,1,120,130,1504,76,114
-93.15435423,16.83591006,1,130,127,1130,92,40
-99.45435455,17.37757676,1,139,133,1213,108,22
-96.76268775,19.31924353,1,115,130,1124,85,74
-103.5543548,20.21091024,1,153,77,635,104,26
-99.53768789,21.21091029,1,155,82,764,87,35
-99.38768788,22.002577,1,125,102,1240,85,75
-98.92935453,22.052577,1,115,115,1438,80,102
-93.65435425,15.99424335,1,126,180,1819,100,34
-90.72102076,19.29424353,1,116,166,1214,83,83
-99.60435456,17.80257678,1,142,139,720,98,33
-99.54602123,21.20257696,1,156,81,744,86,35
-99.80435457,16.83591006,1,113,209,1111,111,19
-98.30435449,21.04424362,1,126,118,1481,61,173
-102.8210214,22.077577,1,187,41,583,101,45
-99.45435455,17.36091009,1,139,137,1278,109,22
-97.28768777,19.79424355,1,114,62,1668,70,228
-99.22102121,22.30257702,1,117,109,1351,87,65
-91.73768748,16.8942434,1,122,151,2503,65,261
-93.10435422,16.57757672,1,139,134,1039,107,16
