FREQUENCY,X,Y,FID_1,Name,SampleLogi,Town,Municipali,State,Country,Lat_N,Long_W,Alt,X_1,Y_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-99.47097222220,22.55047222220,0,Desmodus rotundus,WG080428-001,Alamos de Abajo,El Naranjo,San Lu?s Potos?,,22 33' 01.7,99 28' 15.5,Alt 739m,-99.47097222220,22.55047222220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-99.29100000000,23.60838888890,10,Desmodus rotundus,WG100303-040,,,Tamaulipas,,23 36' 30.2,99 17' 27.6,,-99.29100000000,23.60838888890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-98.57983333330,24.41875000000,26,Desmodus rotundus,WG100303-059,,,Tamaulipas,,24 25' 07.5,98 34' 47.4,,-98.57983333330,24.41875000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-99.35725000000,23.99861111110,48,Desmodus rotundus,WG100303-130,,,Tamaulipas,,23 59' 55.0,99 21' 26.1,,-99.35725000000,23.99861111110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-99.29130555560,23.60872222220,61,Desmodus rotundus,WG100303-155,,,Tamaulipas,,23 36' 31.4,99 17' 28.7,,-99.29130555560,23.60872222220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-99.90486111110,22.76427777780,66,Desmodus rotundus,WG100303-179,,,Tamaulipas,,22 45' 51.4,99 54' 17.5,,-99.90486111110,22.76427777780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.77991666670,24.74569444440,103,Desmodus rotundus,WG100303-286,,,Nuevo Leon,,24 44' 44.5,99 46' 47.7,,-99.77991666670,24.74569444440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-99.77991666670,24.74597222220,103,Desmodus rotundus,WG100303-286,,,Nuevo Leon,,24 44' 44.5,99 46' 47.7,,-99.77991666670,24.74569444440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.20883333330,23.69983333330,143,Desmodus rotundus,WG100303-260,,,Tamaulipas,,23  41' 59.4,99  12' 31.8,,-99.20883333330,23.69983333330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-95.92519166670,16.50888888890,147,Desmodus rotundus,WG070201-002,Mixtequita,San Juan Lajarcia,Oaxaca,Mexico,"16?30'32.00""","95?55'30.69""",,-95.92519166670,16.50888888890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
